Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
adidas-zx-2k-4d-sneakers,Zx 2K 4D Sneakers,<p></p>,adidas,adidas,adidas,true,Size,US 7 - EU 40,,,,,"",3780.0,,0,deny,manual,89.00,255.00,true,false,"",https://cdn.shopify.com/s/files/1/0400/3980/9184/products/15420042_27249819_1000.jpg?v=1591113361,1,,false,ZX 2K 4D sneakers,Never pay again full price for high class sneakers. Premium quality, affordable prices, 4-12 days delivery - shop now on TheSneakr for ridiculous discounts on replicas!,Sneakers,adidas,Unisex,Any,,Sneakers,,new,used,FALSE,,,kg,kg,
adidas-zx-2k-4d-sneakers,,,,,,,,US 7.5 - EU 40.5,,,,,"",3780.0,,0,deny,manual,89.00,255.00,true,false,"",https://cdn.shopify.com/s/files/1/0400/3980/9184/products/15420042_27246918_1000.jpg?v=1591113361,2,,,,,,,,,,,,,,,,,,,kg,kg,
adidas-zx-2k-4d-sneakers,,,,,,,,US 8 - EU 41,,,,,"",3780.0,,0,deny,manual,89.00,255.00,true,false,"",https://cdn.shopify.com/s/files/1/0400/3980/9184/products/15420042_27246919_1000.jpg?v=1591113361,3,,,,,,,,,,,,,,,,,,,kg,kg,
adidas-zx-2k-4d-sneakers,,,,,,,,US 8.5 - EU 42,,,,,"",3780.0,,0,deny,manual,89.00,255.00,true,false,"",https://cdn.shopify.com/s/files/1/0400/3980/9184/products/15420042_27246920_1000.jpg?v=1591113361,4,,,,,,,,,,,,,,,,,,,kg,kg,
adidas-zx-2k-4d-sneakers,,,,,,,,US 9 - EU 42.5,,,,,"",3780.0,,0,deny,manual,89.00,255.00,true,false,"",,,,,,,,,,,,,,,,,,,,,kg,kg,
adidas-zx-2k-4d-sneakers,,,,,,,,US 9.5 - EU 43,,,,,"",3780.0,,0,deny,manual,89.00,255.00,true,false,"",,,,,,,,,,,,,,,,,,,,,kg,kg,
adidas-zx-2k-4d-sneakers,,,,,,,,US 10 - EU 44,,,,,"",3780.0,,0,deny,manual,89.00,255.00,true,false,"",,,,,,,,,,,,,,,,,,,,,kg,kg,
adidas-zx-2k-4d-sneakers,,,,,,,,US 10.5 - EU 44.5,,,,,"",3780.0,,0,deny,manual,89.00,255.00,true,false,"",,,,,,,,,,,,,,,,,,,,,kg,kg,
adidas-zx-2k-4d-sneakers,,,,,,,,US 11 - EU 45,,,,,"",3780.0,,0,deny,manual,89.00,255.00,true,false,"",,,,,,,,,,,,,,,,,,,,,kg,kg,
adidas-zx-2k-4d-sneakers,,,,,,,,US 11.5 - EU 45.5,,,,,"",3780.0,,0,deny,manual,89.00,255.00,true,false,"",,,,,,,,,,,,,,,,,,,,,kg,kg,
