Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Sold individually?,Weight (kg),Allow customer reviews?,Categories,Tags,Images,Parent,Sale price,Regular price,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default
variable,R173OQNNGI,Zx 2K 4D Sneakers,1,0,visible,,<p></p>,none,,1,0,3.36,1,ADIDAS,"adidas, Zx, 2K, 4D, Sneakers","https://cdn.shopify.com/s/files/1/0400/3980/9184/products/15420042_27249819_1000.jpg?v=1591113361,https://cdn.shopify.com/s/files/1/0400/3980/9184/products/15420042_27246918_1000.jpg?v=1591113361,https://cdn.shopify.com/s/files/1/0400/3980/9184/products/15420042_27246919_1000.jpg?v=1591113361,https://cdn.shopify.com/s/files/1/0400/3980/9184/products/15420042_27246920_1000.jpg?v=1591113361",,,,0,Size,"US 7 - EU 40,US 7.5 - EU 40.5,US 8 - EU 41,US 8.5 - EU 42,US 9 - EU 42.5,US 9.5 - EU 43,US 10 - EU 44,US 10.5 - EU 44.5,US 11 - EU 45,US 11.5 - EU 45.5,US 12 - EU 46,US 12.5 - EU 47,US 13 - EU 47.5,US 13.5 - EU 48,US 14 - EU 48.5",1,0,US 7 - EU 40
variation,,Zx 2K 4D Sneakers - US 7.5 - EU 40.5,1,0,visible,,,none,parent,1,0,3.46,1,ADIDAS,"ADIDAS, Zx, 2K, 4D, Sneakers",,R173OQNNGI,89.00,255.00,1,Size,US 7.5 - EU 40.5,,0,
variation,,Zx 2K 4D Sneakers - US 8 - EU 41,1,0,visible,,,none,parent,1,0,3.35,1,ADIDAS,"ADIDAS, Zx, 2K, 4D, Sneakers",,R173OQNNGI,89.00,255.00,2,Size,US 8 - EU 41,,0,
variation,,Zx 2K 4D Sneakers - US 8.5 - EU 42,1,0,visible,,,none,parent,1,0,3.28,1,ADIDAS,"ADIDAS, Zx, 2K, 4D, Sneakers",,R173OQNNGI,89.00,255.00,3,Size,US 8.5 - EU 42,,0,
variation,,Zx 2K 4D Sneakers - US 9 - EU 42.5,1,0,visible,,,none,parent,1,0,3.59,1,ADIDAS,"ADIDAS, Zx, 2K, 4D, Sneakers",,R173OQNNGI,89.00,255.00,4,Size,US 9 - EU 42.5,,0,
variation,,Zx 2K 4D Sneakers - US 9.5 - EU 43,1,0,visible,,,none,parent,1,0,3.5,1,ADIDAS,"ADIDAS, Zx, 2K, 4D, Sneakers",,R173OQNNGI,89.00,255.00,5,Size,US 9.5 - EU 43,,0,
variation,,Zx 2K 4D Sneakers - US 10 - EU 44,1,0,visible,,,none,parent,1,0,3.76,1,ADIDAS,"ADIDAS, Zx, 2K, 4D, Sneakers",,R173OQNNGI,89.00,255.00,6,Size,US 10 - EU 44,,0,
variation,,Zx 2K 4D Sneakers - US 10.5 - EU 44.5,1,0,visible,,,none,parent,1,0,3.84,1,ADIDAS,"ADIDAS, Zx, 2K, 4D, Sneakers",,R173OQNNGI,89.00,255.00,7,Size,US 10.5 - EU 44.5,,0,
variation,,Zx 2K 4D Sneakers - US 11 - EU 45,1,0,visible,,,none,parent,1,0,3.04,1,ADIDAS,"ADIDAS, Zx, 2K, 4D, Sneakers",,R173OQNNGI,89.00,255.00,8,Size,US 11 - EU 45,,0,
variation,,Zx 2K 4D Sneakers - US 11.5 - EU 45.5,1,0,visible,,,none,parent,1,0,3.59,1,ADIDAS,"ADIDAS, Zx, 2K, 4D, Sneakers",,R173OQNNGI,89.00,255.00,9,Size,US 11.5 - EU 45.5,,0,
variation,,Zx 2K 4D Sneakers - US 12 - EU 46,1,0,visible,,,none,parent,1,0,3.19,1,ADIDAS,"ADIDAS, Zx, 2K, 4D, Sneakers",,R173OQNNGI,89.00,255.00,10,Size,US 12 - EU 46,,0,
variation,,Zx 2K 4D Sneakers - US 12.5 - EU 47,1,0,visible,,,none,parent,1,0,3.44,1,ADIDAS,"ADIDAS, Zx, 2K, 4D, Sneakers",,R173OQNNGI,89.00,255.00,11,Size,US 12.5 - EU 47,,0,
variation,,Zx 2K 4D Sneakers - US 13 - EU 47.5,1,0,visible,,,none,parent,1,0,3.39,1,ADIDAS,"ADIDAS, Zx, 2K, 4D, Sneakers",,R173OQNNGI,89.00,255.00,12,Size,US 13 - EU 47.5,,0,
variation,,Zx 2K 4D Sneakers - US 13.5 - EU 48,1,0,visible,,,none,parent,1,0,3.28,1,ADIDAS,"ADIDAS, Zx, 2K, 4D, Sneakers",,R173OQNNGI,89.00,255.00,13,Size,US 13.5 - EU 48,,0,
variation,,Zx 2K 4D Sneakers - US 14 - EU 48.5,1,0,visible,,,none,parent,1,0,3.87,1,ADIDAS,"ADIDAS, Zx, 2K, 4D, Sneakers",,R173OQNNGI,89.00,255.00,14,Size,US 14 - EU 48.5,,0,
variable,OCWBVRRNPF,Dagger Monogram Low-Top Sneakers,1,0,visible,,"<p><span>White Dagger Monogram low-top sneakers from AMIRI featuring a round toe, a perforated style, a lace-up front fastening, a brand embossed tongue, a print to the front and a white rubber sole.</span></p>",none,,1,0,3.78,1,AMIRI,"AMIRI, Dagger, Monogram, Low-Top, Sneakers","https://cdn.shopify.com/s/files/1/0400/3980/9184/products/15412084_27267421_1000.jpg?v=1591113351,https://cdn.shopify.com/s/files/1/0400/3980/9184/products/15412084_27267422_1000.jpg?v=1591113351,https://cdn.shopify.com/s/files/1/0400/3980/9184/products/15412084_27263723_1000.jpg?v=1591113351,https://cdn.shopify.com/s/files/1/0400/3980/9184/products/15412084_27267423_1000.jpg?v=1591113351",,,,0,Size,"US 7 - EU 40,US 7.5 - EU 40.5,US 8 - EU 41,US 8.5 - EU 42,US 9 - EU 42.5,US 9.5 - EU 43,US 10 - EU 44,US 10.5 - EU 44.5,US 11 - EU 45,US 11.5 - EU 45.5,US 12 - EU 46,US 12.5 - EU 47,US 13 - EU 47.5,US 13.5 - EU 48,US 14 - EU 48.5",1,0,US 7 - EU 40
variation,,Dagger Monogram Low-Top Sneakers - US 7.5 - EU 40.5,1,0,visible,,,none,parent,1,0,3.36,1,AMIRI,"AMIRI, Dagger, Monogram, Low-Top, Sneakers",,OCWBVRRNPF,125.00,882.00,1,Size,US 7.5 - EU 40.5,,0,
